station_id,route_id,arsid,sta_ord
108000372,100100009,09310,2
108000372,100100142,09310,2
113000513,123000016,00006,2
102000158,100100124,03252,2
123000680,123900002,24198,2
121000222,102000001,22298,2
121000009,107000010,22009,2
113000454,111000029,14355,2
113000454,113000007,14355,2
119900296,119900024,20966,2
235000083,109000002,68136,2
123000312,123000002,24403,2
207000234,110000007,61102,2
116000654,100100295,17163,2
103900215,103900008,04253,2
107900257,107900002,08490,2
118000601,100100417,19336,2
218000375,111000025,35313,2
111000014,111900015,12014,2
113000520,113000006,14639,2
101000336,113900002,14526,2
124000490,124900002,25605,2
104000041,104900002,05134,2
105000161,100000025,06247,2
204000163,106000005,48851,2
122000003,103000004,23103,2
117900228,117900012,18757,2
122000245,122000011,23349,2
209000266,100100287,56018,2
209000266,100100282,56018,2
209000266,100100281,56018,2
161000535,122000004,92604,2
100000365,115000009,01037,2
110000290,110000008,11391,2
115000128,103000003,16225,2
101000119,100000026,02224,2
110000657,100100418,11861,2
161000535,100100573,92604,2
161000535,100100422,92604,2
161000535,124000014,92604,2
161000535,100100415,92604,2
